word,etymology,pos,classification,definition,similar,opposite
watwat,,rv1,,"to dangle; hang, suspend",,
waw,eng,intj,,"""wow"" (expression of amazement or surprise)",,
wawa,,n,,mouth of a river,gibungan,
wawaw,,rv5,,to howl (said of animals); to cry aloud (said of people),,
waya-waya,,rv7,,"to wave to, move back and forth (like branches)",,
waytleghorn,eng,n,,white leghorn (chicken),,
weste,sp,n,,west (direction),katueundan,
wigit,,rv1,,to scatter about (carelessly),,
wiit,,rv1,,to stretch or pull apart,,
wiit,,adj,,"expanded, stretched, twisted unevenly",,
wilga,sp,n,,"strike, protest",,
wilga,,rv3,,"to strike, protest against",,
wili,,st2,,to be accustomed (to); to be carried away,"anad, daean",
wilik,,rv2,,"to flick off, throw off (by a sudden motion of the hand--as when casting off an insect from the arm)",,
wilwil,,adj,,"off-center (usually said of clothing that is not put on properly), out of line",,
wipibol,eng,n,,whiffle ball (game),,
wipon,eng,n,,"weapon, arm(s)","hinangiban, armas",
wisik,,rv3,,"to sprinkle, wet (by using fingers or hand to throw water)",,
witay,,rv1,,"to suspend, dnalge",,
witer,eng,n,,waiter,,
witing,ch,n,,"""daily-double"" (betting game)",,
witi-witi,,adj,,"trifling, slight, not important, of low status",,
wi-wi,,rv1,,"split open further (such as a buttonhole), enlarge (by splitting)",,
wonderbred,eng,n,,American style of bread; a slice loaf of bread,,
worid,eng,st2,,to be worried (about),hawag,
ya,,dec,,hear (near speaker),,
yabi,,rv3,,to use a key,,
yabi,sp,n,,key,yawi,
yab-ok,hil,n,,"dust, dirt",tapu-tapu,
yadi,bkd,adj,,"useful, good for something",,
yagota,oak,rv1,,"to insult, humilate",,
yahong,hil,n,,"bowl, sauce dish",maeukong,
yakal,,n,,(tree--hardwood) (sn: Shorea gisok/Shorea balangeran),,
yakap,tag,rv1,,"to embrace, hug","kupkup, hakos",
yamaha,jp,n,,"(motorbike, motorcycle)",,
yamar,sp,rv1,,to prime (a pump),,
yamar,,n,,water to prime a pump,,
yangob,,adj,,toothless (as in very old people),,
yangot,,st1,,"to hate, despise",sab-an,
yano,sp,adj,,"simple, plain, common, not elaborate, undecorated",,
yaob,hil,rv5,,to cry from suffering,bakho,
Yapak,,n,,"barrio of Malay, on Borakay Island",,
yarda,sp,n,,yard (unit of measure),,
yasyas,,rv3,,to mill (rice),,
yasyas,,n,,totally milled or cleaned rice,,
yate,sp,n,,yacht,,
yati,,intj,,"""darn it"", ""drat it"", ""rats""",yatis,
yatis,,intj,,"""darn it"" (exclamation of mild disgust or anger)",yati,
yawa,,intj,vul,"""damn it"", ""oh, hell""",,
yawa,,n,,"devil; Satan, the Devil",,Yawi
Yawan,,n,,barrio of Ibajay,,
yaw-anay,,intj,,"""please don't"", ""not yet""",,
yawi,sp,n,,key,yabi,
Yawi,oak,n,,(old name for God--possibly related to the Aramic Jehova/Yahweh),,
yaya,sp,n,,"nursemaid, baby sitter; wet nurse",,
ya-ya,,adj,,wide open,,
yelo,sp,n,,ice,,
yelo,eng,adj,,yellow,dueaw,
yema,sp,n,,condensed milk candy,,
yero,sp,n,,galvanized iron sheet(s),sim,
yoyo,,rv5,,to play with a yoyo,,
yoyo,,n,,yoyo (toy),,
yubit,,rv1,,"to slander, speak ill of, criticize",,dayaw
yugo,sp,n,,yoke (used on draft animals),,
yugyug,,rv1,,to shake (usually by the shoulders),,
yuhom-yuhom,hil,rv5,,to smile,,
yuko,,rv2,,"to bend, fold over; stoop, bow, nod one's head","tiko, pilo",
yukot,,rv1,,"to crumple, wrinkle (clothing)",,
yukot,,adj,,"crumpled, wrinkled",,
yukyuk,,adj,,"smallest, tiniest, minute, infinitesima",,eagko
yumad,,n,,(young louse/lice),eumad,
yumyum,,rv1,,to dissolve in the mount (without chewing),,
yunar,sp,n,,birthmark,,
yupi,,adj,,"crumpled, wrinkled, bent (like tin sheets)",,
yupi,,rv1,,"to crumple, wrinkle, bend",,
yupyup,,rv1,,"to inhale, breate in",buga,
yuyom,,adj,,"humble, kind; attractive",,
Yuyos,,n,,sitio in Madalag,,
